,g0,eMax,eLen,eList,fid,fidnum,fid2
114,0.0384615384615384,4,3,"[4.0, 4.0, 4.0]",0.3502337429592187,0.3519305599276422,0.35040567703465986
115,0.0384615384615384,5,3,"[5.0, 5.0, 5.0]",0.4340454113508729,0.4352547696712443,0.4341263971063385
116,0.0384615384615384,6,3,"[6.0, 5.81055632, 4.61087461]",0.4464516339375246,0.4454757266802546,0.44645470916458496
117,0.0384615384615384,8,3,"[8.0, 0.0, 4.63373269]",0.4531429505568827,0.4376724619250374,0.4531648894854463
118,0.0384615384615384,10,3,"[8.82369016, 0.0, 3.84503147]",0.4567414315626219,0.4318505530882759,0.456740865705771
119,0.0384615384615384,2,4,"[2.0, 2.0, 2.0, 2.0]",0.1347465397377693,0.1360540318086524,0.13484283889663273
120,0.0384615384615384,3,4,"[3.0, 3.0, 3.0, 3.0]",0.2831822743530663,0.2851950563764103,0.28335559682201894
121,0.0384615384615384,4,4,"[4.0, 4.0, 4.0, 4.0]",0.4170900946102582,0.4189843414953053,0.4172268051214747
122,0.0384615384615384,5,4,"[5.0, 5.0, 2.03507362, 5.0]",0.4543589214884438,0.4562339775452525,0.4544094174329649
123,0.0384615384615384,6,4,"[6.0, 3.01701573, 0.0, 6.0]",0.4789146626212914,0.4834911563953012,0.4789988166977468
124,0.0384615384615384,8,4,"[8.0, 1.96775414e-05, 0.0, 6.3275087]",0.5465931282740003,0.4904675336398607,0.5466452116669177
125,0.0384615384615384,10,4,"[10.0, 9.27305789, 9.2952435, 8.85535542]",0.757969663309873,0.1002461661579276,0.7579298001839988
126,0.0384615384615384,2,5,"[2.0, 2.0, 2.0, 2.0, 2.0]",0.1654036123840603,0.1669449652728409,0.16552055640246655
127,0.0384615384615384,3,5,"[3.0, 3.0, 3.0, 3.0, 3.0]",0.3397501086654165,0.3419827942177287,0.33994242153489984
128,0.0384615384615384,4,5,"[4.0, 4.0, 4.0, 4.0, 4.0]",0.4607750870350717,0.4632557318851059,0.4608278198570046
129,0.0384615384615384,5,5,"[5.0, 5.0, 0.0, 2.8355665, 5.0]",0.5196402019306154,0.5197355801965724,0.5197938696256333
130,0.0384615384615384,6,5,"[6.0, 6.0, 0.0, 0.0, 6.0]",0.601309387179341,0.5965073823340196,0.6014196751463826
131,0.0384615384615384,8,5,"[8.0, 3.81214699, 0.0, 0.0, 6.77834212]",0.6752900499827558,0.6481898703222996,0.6753897926025536
132,0.0384615384615384,10,5,"[9.48491593, 8.22200133, 9.42883278, 9.2852858, 6.76332646]",0.807773885345527,0.1290072542381798,0.8032840383745977
133,0.0384615384615384,2,6,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",0.1946719708416762,0.1964077763310986,0.19480862162535972
134,0.0384615384615384,3,6,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",0.393347649102177,0.3958217000170094,0.3935563174059209
135,0.0384615384615384,4,6,"[4.0, 4.0, 4.0, 1.25045869, 4.0, 4.0]",0.5182668665555953,0.5217431033542067,0.5184302675798739
136,0.0384615384615384,5,6,"[5.0, 5.0, 3.76441869, 0.0, 3.31809733, 5.0]",0.611089296118484,0.6126110927479491,0.6112654301611422
137,0.0384615384615384,6,6,"[6.0, 6.0, 2.87424695, 0.0, 2.29466862, 6.0]",0.697358270530067,0.6933150132433131,0.6974963837754417
138,0.0384615384615384,8,6,"[8.0, 6.30999903, 6.17747933, 6.67774601, 5.26769708, 7.46517125]",0.8073995601675977,0.624203147393932,0.8074515151029481
139,0.0384615384615384,10,6,"[8.99832002, 6.40641781, 7.02975649, 8.33828822, 7.49464249, 8.24975338]",0.8717920122105961,0.1287537167221676,0.8717556352564837
140,0.0384615384615384,2,7,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",0.222562839972386,0.2244529333705434,0.22271868380444415
141,0.0384615384615384,3,7,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",0.4467640289333752,0.4495264895706511,0.4469939819147377
142,0.0384615384615384,4,7,"[4.0, 4.0, 4.0, 3.97676322, 0.0, 4.0, 4.0]",0.5980767450361155,0.602605500477056,0.5982667325373083
143,0.0384615384615384,5,7,"[5.0, 5.0, 5.0, 2.15196166, 0.0, 4.27974308, 5.0]",0.7107190743988264,0.711401225426802,0.7108637967808519
144,0.0384615384615384,6,7,"[6.0, 6.0, 0.0, 5.00838344, 0.0, 2.39498842, 6.0]",0.778817970687183,0.7698243418090062,0.7789775498023775
145,0.0384615384615384,8,7,"[8.0, 5.81317124, 0.0, 4.69869643, 2.11636763, 1.64430473, 6.57448982]",0.8248951120985305,0.7934997245457933,0.8249082540640501
146,0.0384615384615384,10,7,"[9.94889606, 0.0, 6.48855379, 6.70920204, 6.55062402, 5.35267446, 7.55013624]",0.9381385024764792,0.2517253771499236,0.9382146566697093
147,0.0384615384615384,2,8,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",0.2489723650867551,0.250969148209139,0.24914703341477473
148,0.0384615384615384,3,8,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",0.5013138839709024,0.5042969464306954,0.5015742569011511
